client_name,area,customer_category
The Ritz Carlton Maldives Decoration,,
The Sanubari,,
The Sourcing Bali,,
The Westin - Ikan,,
The Westin Ikan (Wine Bucket),,
The Westin Nusa Dua,,
The Westin Nusa Dua (Cup Set),,
The Westin Nusa Dua (Cup and Saucer),,
The Westin Nusa Dua (Hamabe),,
The Westin Nusa Dua (SAMPLE),,
The Westin Nusa Dua - Ikan Restaurant,,
The Westin Nusa Dua Ikan Additional,,
Three Monkeys Sanur,,
Ulekan,,
Ulu Garden (Updated),,
Ulu Garden (new items for Tribe - without Large Bowl),,
Ulu Garden Tribe,,
Umalas Hotel Siganature - Aroi,,
Umalas Hotel Siganature - Baka,,
Umalas Hotel Siganature - Celeste,,
Viktoria Forina,,
Wakatobi ,,
Wakatobi SAMPLE,,
Waterbom (Cup),,
Wolf Gang Puck ,,
Wolf Gang Puck Airport (Sample),,
Wolf Gang Puck Sample,,
WolfGang Puck,,
Wolfgang Puck Airport,,
Woo Bo - Additional,,
Woo Bo Additional,,
Wrong Gym,,
Zest Ubud,,
Zest Ubud Additional,,
