Date,Company_Name,Brand_Name,Symbol Currency,Sub Total,VAT Amount,Total,Customer_Category,Trade_Type,Status,
19 Mar 2025,Duta Jaya Perkasa,Jumeirah Bali,Rp,"15,000,000.","1,650,000.","16,650,000.",Hotel,Local,Terproses,
27 Jan 2025,Dwimukti Graha Kencana,Kitsune,Rp,"69,550,000.","7,650,500.","77,200,500.",Restaurant,Local,Terproses,
16 Sep 2024,"Eden Restaurant Events, PT",Luna Beach Club,Rp,"15,750,000.","1,732,500.","17,482,500.",Restaurant,Local,Terproses,
17 May 2024,Expat Roasters Indonesia,Expat Roasters,Rp,"58,618,800.","6,448,068.","65,066,868.",Restaurant,Local,Terproses,
19 Aug 2024,Expat Roasters Indonesia,Expat Roasters,Rp,"258,550,000.","28,440,500.","286,990,500.",Restaurant,Local,Terproses,
20 May 2024,Fairmont Jakarta - PT Senayan Trikarya Sempana,Fairmont Jakarta,Rp,"280,725,000.","30,879,750.","311,604,750.",Hotel,Local,Terproses,
09 Jan 2025,Fairmont Jakarta - PT Senayan Trikarya Sempana,Fairmont Jakarta,Rp,"167,300,000.","18,403,000.","185,703,000.",Hotel,Local,Terproses,
18 Apr 2024,Fieldcrest Enterprise,Raffless Singapore (USD),$,"7,819.5",0.,"7,819.5",Agent,Export,Terproses,
02 May 2024,Fieldcrest Enterprise,Raffless Singapore (USD),$,"11,832.",0.,"11,832.",Agent,Export,Terproses,
06 Jun 2024,Fieldcrest Enterprise,Raffless Singapore (USD),$,"3,855.",0.,"3,855.",Agent,Export,Terproses,
23 Apr 2024,Fortuna Paradiso Optima,The Luxury Collection,Rp,"238,350,250.","26,218,527.","264,568,777.",Hotel,Local,Terproses,
26 Nov 2024,Four Season Resort Maldives,Four Season Maldives,$,"1,290.",0.,"1,290.",Hotel,Export,Terproses,
07 Feb 2025,Four Season Resort Maldives,Four Season Maldives,$,"1,860.",0.,"1,860.",Hotel,Export,Terproses,
18 Jul 2024,French Kiss,French Kiss,Rp,"780,000.","85,800.","865,800.",Restaurant,Local,Menunggu diproses,
13 Aug 2024,French Kiss,French Kiss,Rp,"30,660,000.","3,372,600.","34,032,600.",Restaurant,Local,Terproses,
06 Mar 2024,GAB's Gastro Bar,GAB's Gastro Bar,Rp,"201,627,000.","22,178,970.","223,805,970.",Restaurant,Local,Terproses,
