Company_Name,Brand_Name,PO Number,Date,Complete Date by Sales,Complete Date by Production,Trade_Type,Rate Last Sales Order,Total,Available Down Payment Last Sales Order,Down Payment Used/Returned Last Sales Order,Total Item Based on PO,Sales Origin,Cfm by WA,Customer_Category
"Pasar Tani Indoguna, CV",Pasar Tani Indoguna,21723,30/01/2025,30/04/2025,16/05/2025,Local,1,14685300,0,7342650,60,,,Umum
"Pasar Tani Indoguna, CV",Pasar Tani Indoguna,PO21492,10/01/2025,31/03/2025,18/03/2025,Local,1,11177700,0,5588850,20,Jakarta,,Umum
"Pasar Tani Indoguna, CV",Pasar Tani Indoguna,PO21493,10/01/2025,31/03/2025,18/03/2025,Local,1,11177700,0,5588850,20,Jakarta,,Umum
Paola Buendia,Paola Buendia,-,28/02/2025,17/03/2025,17/03/2025,Local,1,4795200,0,2397600,24,,,Personal
"Palembang Boga Utama, CV",Palembang Boga Utama,PO21494,10/01/2025,31/03/2025,18/03/2025,Local,1,11177700,0,5588850,20,Kalimantan Timur,,Restaurant
"Palembang Boga Utama, CV",Palembang Boga Utama,PO21722,30/01/2025,30/04/2025,13/05/2025,Local,1,29550420,0,14775210,108,,,Restaurant
Pak Dio,Dio,-,31/01/2025,30/04/2025,16/05/2025,Local,1,31348620,0,15674310,120,,,Personal
Pahdi Alam Sejahtera,Pahdi,,18/01/2024,,,,,27195000,,,0,,,Restaurant
Pahdi Alam Sejahtera,Pahdi,-,15/11/2024,28/02/2025,28/02/2025,Local,1,255854722,0,127927361,882,Bali,,Restaurant
Pacific Resorts Buana Indonesia,St Regis Bali,,29/08/2024,,,,1,1714950,1714950,0,0,,,Hotel
Pacific Resorts Buana Indonesia,St Regis Bali,-,19/12/2024,04/03/2025,28/02/2025,Local,1,77700000,0,38850000,480,Bali,,Hotel
Pablo Long Time Asian Restaurant,Pablo Long Time,,18/04/2024,,,,1,6216000,0,3108000,0,,,Restaurant
Pablo Long Time Asian Restaurant,Pablo Long Time,,22/01/2024,,,,1,149239500,0,0,0,,,Restaurant
Pablo Long Time Asian Restaurant,Pablo Long Time,,19/03/2024,,,,1,4662000,0,2331000,0,,,Restaurant
Pablo Long Time Asian Restaurant,Pablo Long Time,,04/06/2024,,,,1,10822500,0,5411250,0,,,Restaurant
Pablo Long Time Asian Restaurant,Pablo Long Time,,03/09/2024,,,,1,2797200,0,1398600,0,,,Restaurant
Original Vision (Antigua) Ltd,Giuseppe Tulumello Architect (Sandy Toes),,24/12/2024,,,,,35123.4,,,0,,,Umum
Original Vision (Antigua) Ltd,Giuseppe Tulumello Architect (Sandy Toes),-,10/01/2025,07/01/2025,28/01/2025,Export,,1399.95,,,8,,,Umum
Original Vision (Antigua) Ltd,Giuseppe Tulumello Architect (Sandy Toes),-,24/12/2024,14/04/2025,15/06/2025,Export,16249,33399.99,15745.95,0,2125,Antigua,,Umum
Optimist Pererenan,Optimist Pererenan,,19/01/2024,,,,1,179792250,0,0,0,,,Restaurant
Optimist Pererenan,Optimist Pererenan,,04/06/2024,,,,1,42918150,0,21459075,0,,,Restaurant
Nusantara Ubud,CIPATI YUDHA PERSADA/JVJ Gastro Warung,,11/06/2024,,,,1,26420220,0,13210110,0,,,Restaurant
Nusantara Ubud,CIPATI YUDHA PERSADA/JVJ Gastro Warung,,06/02/2024,,,,1,24697500,0,12348750,0,,,Restaurant
Nusantara Island Resort,Amankila Hotel,,08/02/2024,,,,1,15961800,0,15645450,0,,,Hotel
Nusadua Graha International,The Westin Resort Nusa Dua,,19/03/2024,,,,1,195110250,0,97555125,0,,,Hotel
Nusadua Graha International,The Westin Resort Nusa Dua,,12/04/2024,,,,1,36630000,0,18315000,0,,,Hotel
Nusadua Graha International,The Westin Resort Nusa Dua,,18/07/2024,,,,1,47041245,0,23520622,0,,,Hotel
Nusadua Graha International,The Westin Resort Nusa Dua,,12/07/2024,,,,1,15540000,0,15540000,0,,,Hotel
Nusadua Graha International,The Westin Resort Nusa Dua,,13/09/2024,,,,1,25308000,0,12654000,0,,,Hotel
