Total_USD,Total_Quantity,Cluster,Avg_Price_Per_Item,Quantity_to_Value_Ratio,Company_Name,Order_Density
362.9482937327864,2.0,2,181.4741468663932,0.0055104267867765785,sanur shop,0.8681318681318682
98.3942429682662,1.0,3,98.3942429682662,0.010163196238244517,sanur shop,0.8681318681318682
154.22295136091884,1.0,2,154.22295136091884,0.0064841192,sanur shop,0.8681318681318682
43.79931818650095,3.0,3,14.59977272883365,0.06849421690140846,uluwatu shop,0.9260869565217391
96.85201345465704,1.0,3,96.85201345465704,0.010325030573248408,uluwatu shop,0.9260869565217391
12.646282011595344,1.0,3,12.646282011595344,0.0790746243902439,uluwatu shop,0.9260869565217391
42.25708867289176,1.0,1,42.25708867289176,0.023664668613138685,lobby shop,0.36134453781512604
70.32566582057899,1.0,1,70.32566582057899,0.014219559649122807,lobby shop,0.36134453781512604
401.5965653438327,2.0,2,200.79828267191635,0.004980122273425498,bazzar labrisa,0.14613180515759314
176.12261045416932,2.0,3,88.06130522708466,0.011355725394045535,sanur shop,0.8681318681318682
256.6269910645689,2.0,3,128.31349553228446,0.007793412500000001,ubud shop,0.9835164835164835
214.98679419712087,3.0,3,71.66226473237363,0.013954345480631276,ubud shop,0.9835164835164835
157.61585629085906,1.0,2,157.61585629085906,0.006344539334637965,uluwatu shop,0.9260869565217391
111.04052497986156,1.0,1,111.04052497986156,0.009005721111111111,lobby shop,0.36134453781512604
55.52026248993078,1.0,3,55.52026248993078,0.018011442222222222,shed shop,0.9587912087912088
728.3024655068031,2.0,2,364.15123275340153,0.0027461118075554807,shed shop,0.9587912087912088
17.27297055242291,1.0,3,17.27297055242291,0.057893921428571436,uluwatu shop,0.9260869565217391
67.85809859880429,1.0,1,67.85809859880429,0.014736634545454546,lobby shop,0.36134453781512604
277.9097583523757,2.0,3,138.95487917618786,0.007196580688124308,sanur shop,0.8681318681318682
338.6736011885778,1.0,2,338.6736011885778,0.0029526954462659382,ubud shop,0.9835164835164835
734.1012484779736,2.0,2,367.0506242389868,0.002724419831932773,shed shop,0.9587912087912088
57.51899193956829,4.0,1,14.379747984892072,0.06954224796224796,mitra mulia boga nusantara,0.010126582278481013
15.422295136091885,1.0,0,15.422295136091885,0.064841192,revenue studio,1.9806629834254144
39.481075548395225,1.0,0,39.481075548395225,0.025328590624999998,revenue studio,1.9806629834254144
24.67567221774701,1.0,0,24.67567221774701,0.04052574500000001,revenue studio,1.9806629834254144
86.36485276211455,3.0,0,28.788284254038185,0.034736352857142855,revenue studio,1.9806629834254144
18.506754163310266,1.0,0,18.506754163310266,0.05403432666666665,revenue studio,1.9806629834254144
30.84459027218377,2.0,0,15.422295136091885,0.064841192,revenue studio,1.9806629834254144
29.61080666129641,2.0,0,14.805403330648206,0.06754290833333335,revenue studio,1.9806629834254144
37.01350832662053,1.0,0,37.01350832662053,0.027017163333333327,revenue studio,1.9806629834254144
49.35134443549403,1.0,0,49.35134443549403,0.0202628725,revenue studio,1.9806629834254144
739.529896365878,120.0,1,6.162749136382317,0.16226524524524524,bali selaras indah sejati,0.012121212121212121
25.909455828634364,2.0,3,12.954727914317182,0.07719189523809525,shed shop,0.9587912087912088
194.6293646174796,2.0,3,97.3146823087398,0.010275941679873215,ubud shop,0.9835164835164835
330.65400771781,2.0,2,165.327003858905,0.006048618656716419,uluwatu shop,0.9260869565217391
572.1671495490089,3.0,2,190.72238318300296,0.005243223072776281,ubud shop,0.9835164835164835
227.94152211143805,2.0,3,113.97076105571902,0.008774180243572394,ubud shop,0.9835164835164835
374.1448800015891,3.0,3,124.7149600005297,0.008018284253915911,ubud shop,0.9835164835164835
33.929049299402145,1.0,3,33.929049299402145,0.029473269090909093,sanur shop,0.8681318681318682
279.60621081734587,2.0,3,139.80310540867293,0.00715291693325979,sanur shop,0.8681318681318682
191.85335149298305,3.0,3,63.951117164327684,0.015636943408360127,sanur shop,0.8681318681318682
343.30028972940534,2.0,2,171.65014486470267,0.005825803414195867,uluwatu shop,0.9260869565217391
937.0586524689428,2.0,2,468.5293262344714,0.002134338117182357,uluwatu shop,0.9260869565217391
56.75404610081813,1.0,3,56.75404610081813,0.017619889130434784,uluwatu shop,0.9260869565217391
138.06038605829454,1.0,1,138.06038605829454,0.007243207327971403,lobby shop,0.36134453781512604
199.56449906102895,2.0,3,99.78224953051448,0.010021822565687791,shed shop,0.9587912087912088
28.99391485585274,1.0,3,28.99391485585274,0.034489995744680854,shed shop,0.9587912087912088
118.13478074246385,4.0,3,29.53369518561596,0.03385963028720626,shed shop,0.9587912087912088
30.84459027218377,2.0,0,15.422295136091885,0.064841192,revenue studio,1.9806629834254144
77.11147568045942,5.0,0,15.422295136091885,0.064841192,revenue studio,1.9806629834254144
163.47632844257396,4.0,0,40.86908211064349,0.024468374339622644,revenue studio,1.9806629834254144
49.35134443549403,1.0,0,49.35134443549403,0.0202628725,revenue studio,1.9806629834254144
37.01350832662053,1.0,0,37.01350832662053,0.027017163333333327,revenue studio,1.9806629834254144
466.0617590126967,3.0,1,155.3539196708989,0.006436915155526142,bazzar labrisa,0.14613180515759314
34.54594110484582,1.0,3,34.54594110484582,0.028946960714285718,uluwatu shop,0.9260869565217391
124.30369879690058,2.0,3,62.15184939845029,0.016089625806451614,shed shop,0.9587912087912088
210.66855155901516,3.0,3,70.22285051967172,0.014240378916544654,ubud shop,0.9835164835164835
7.711147568045942,1.0,3,7.711147568045942,0.129682384,sanur shop,0.8681318681318682
312.4556994572216,2.0,2,156.2278497286108,0.006400907403751233,ubud shop,0.9835164835164835
40.0979673538389,1.0,3,40.0979673538389,0.024938920000000003,sanur shop,0.8681318681318682
374.9159947583937,1.0,2,374.9159947583937,0.0026672641711229946,uluwatu shop,0.9260869565217391
287.7800272394745,2.0,1,143.89001361973726,0.006949752625937836,lobby shop,0.36134453781512604
403.44724076016365,3.0,3,134.4824135867212,0.007435916513761469,shed shop,0.9587912087912088
23.441888606859663,1.0,1,23.441888606859663,0.042658678947368425,sales kevala home,0.06818181818181818
94.38444623288233,3.0,0,31.46148207762744,0.031784898039215685,revenue studio,1.9806629834254144
553.6603953856986,3.0,2,184.55346512856622,0.0054184840111420616,shed shop,0.9587912087912088
200.18139086647264,1.0,2,200.18139086647264,0.004995469337442219,ubud shop,0.9835164835164835
51.81891165726873,1.0,3,51.81891165726873,0.019297973809523812,uluwatu shop,0.9260869565217391
2303.3274897228907,175.0,1,13.16187136984509,0.07597703790747269,graha alam lestari,0.027285129604365622
1658.1218926388644,197.0,1,8.416862399182053,0.11880911824068545,nusadua graha international,0.04304635761589404
513.5624280318598,50.0,1,10.271248560637195,0.09735914714714713,usaha liburan uluwatu,0.014925373134328358
102.71248560637194,15.0,1,6.847499040424796,0.14603872072072074,usaha liburan uluwatu,0.014925373134328358
1499.6022898530305,168.0,3,8.926204106268038,0.11202970356658028,willam wilson ventures,1.0
684.7499040424797,100.0,3,6.847499040424797,0.14603872072072072,naga - chinese restaurant sanur,1.0
232.81496737444309,34.0,1,6.847499040424797,0.14603872072072072,griya pancaloka,0.030120481927710843
328.67995394039025,60.0,1,5.477999232339838,0.1825484009009009,anaamaya resort seminyak,0.073512252042007
410.9387402995306,48.0,1,8.56122375624022,0.11680573110486762,fairmont jakarta - pt senayan trikarya sempana,0.015544041450777202
510.1386785116473,57.0,1,8.949801377397321,0.11173432323598767,bali giri kencana,0.0841799709724238
384.0151488886879,3.0,3,128.00504962956265,0.007812191807228916,sanur shop,0.8681318681318682
886.4735244225615,3.0,2,295.4911748075205,0.0033841958246346557,shed shop,0.9587912087912088
6.477363957158591,1.0,1,6.477363957158591,0.1543837904761905,lobby shop,0.36134453781512604
340.09245234109824,3.0,3,113.36415078036607,0.0088211307817885,ubud shop,0.9835164835164835
86.85836620646948,1.0,3,86.85836620646948,0.011512995738636365,uluwatu shop,0.9260869565217391
898.230927031693,85.0,1,10.567422670961093,0.09463045353035465,ungasan semesta resort,0.11075949367088607
369.0356586905434,37.0,1,9.973936721366039,0.1002613138559234,ungasan semesta resort,0.11075949367088607
263.960785915225,27.0,1,9.776325404267594,0.10228792093637522,ungasan semesta resort,0.11075949367088607
241.0353591278828,36.0,1,6.695426642441189,0.14935568013861392,ungasan semesta resort,0.11075949367088607
858.7482475646036,87.0,1,9.870669512236823,0.10131025041009471,ungasan semesta resort,0.11075949367088607
353.3309504859195,29.0,1,12.18382587882481,0.08207602521125777,nusadua graha international,0.04304635761589404
127.3634821519012,12.0,1,10.613623512658434,0.09421852949723919,griya pancaloka,0.030120481927710843
74.02701665324105,2.0,0,37.013508326620524,0.027017163333333333,revenue studio,1.9806629834254144
21.59121319052864,2.0,0,10.79560659526432,0.09263027428571427,revenue studio,1.9806629834254144
21.59121319052864,2.0,0,10.79560659526432,0.09263027428571427,revenue studio,1.9806629834254144
30.84459027218377,2.0,0,15.422295136091885,0.064841192,revenue studio,1.9806629834254144
92.5337708165513,2.0,0,46.26688540827565,0.021613730666666667,revenue studio,1.9806629834254144
130.78106275405918,5.0,0,26.156212550811837,0.03823183490566038,revenue studio,1.9806629834254144
6.1689180544367535,2.0,0,3.0844590272183767,0.32420596,revenue studio,1.9806629834254144
4734.360836549704,395.0,3,11.985723636834694,0.0834325928329255,aksanti setia kamayangan,1.0
13225.47358475458,1264.0,4,10.463191127179256,0.09557313709030825,graha alam lestari,0.027285129604365622
3457.4734529864904,285.0,1,12.131485799952598,0.08243013399099947,kristal tee indonesia,0.0125
820.2961475476885,60.0,1,13.671602459128142,0.0731443152322154,maya resort,0.06092124814264487
822.8981971830499,67.0,1,12.282062644523133,0.08141954889359924,bukit uluwatu villa,0.04046242774566474
301.289957778691,20.0,1,15.06449788893455,0.0663812366912367,dapur asian lokal,0.018796992481203006
13207.79852412337,1003.0,4,13.168293643193788,0.07593998334908514,usaha liburan uluwatu,0.014925373134328358
284.5991480230653,35.0,1,8.131404229230437,0.12297998867221988,hotel pandan arum,0.039603960396039604
8748.0,480.0,4,18.225,0.05486968449931413,kiros hospitality solutions pvt. ltd.,0.007905138339920948
3570.0,180.0,1,19.833333333333332,0.05042016806722689,kiros hospitality solutions pvt. ltd.,0.007905138339920948
16284.4,930.0,4,17.51010752688172,0.057109872024759895,ocean product,1.0
2400.0,120.0,3,20.0,0.05,capella singapore,1.0
7755.0,410.0,4,18.914634146341463,0.052869116698903935,fieldcrest enterprise,0.017064846416382253
2688.0,210.0,1,12.8,0.078125,fieldcrest enterprise,0.017064846416382253
164.33997697019512,80.0,1,2.0542497121274392,0.4867957357357357,vista padang asri,0.009696969696969697
2721.196118664814,134.0,1,20.30743372137921,0.04924305127472717,bali perkasa sukses,0.14285714285714285
2233.99656193859,110.0,1,20.30905965398718,0.04923910890200545,bali perkasa sukses,0.14285714285714285
1722.4883836188576,112.0,1,15.379360568025515,0.06502220918593012,bali perkasa sukses,0.14285714285714285
2275.030169093745,212.0,1,10.731274382517665,0.09318557743981475,ungasan semesta resort,0.11075949367088607
52.43580346271241,2.0,0,26.217901731356203,0.03814187764705882,revenue studio,1.9806629834254144
276.3787562696256,19.0,1,14.546250329980296,0.06874623888047406,ungasan semesta resort,0.11075949367088607
1369.499808084959,200.0,1,6.847499040424796,0.14603872072072074,bumi canggu nusantara,0.012362637362637362
13343.584430094992,1008.0,4,13.23768296636408,0.07554192093442047,groupx kolektif indonesia,0.007228915662650603
15889.62152330574,1190.0,4,13.352623128828352,0.07489165165165165,usaha liburan uluwatu,0.014925373134328358
373.1886977031514,57.0,1,6.5471701351430065,0.15273774460699233,bali giri kencana,0.0841799709724238
39.481075548395225,1.0,0,39.481075548395225,0.025328590624999998,revenue studio,1.9806629834254144
18.506754163310266,1.0,0,18.506754163310266,0.05403432666666665,revenue studio,1.9806629834254144
1999.30192523296,476.0,1,4.200214128640672,0.2380830999022502,bali nusaintan,0.022727272727272728
49.35134443549403,4.0,0,12.337836108873507,0.08105149,revenue studio,1.9806629834254144
119.67701025607302,3.0,3,39.89233675202434,0.02506747113402062,ubud shop,0.9835164835164835
494.7472279658276,3.0,2,164.91574265527586,0.006063702493765586,ubud shop,0.9835164835164835
214.67834829439903,2.0,3,107.33917414719951,0.009316263218390805,ubud shop,0.9835164835164835
