invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type,Total_Quantity,Country,Total_USD
INV-00028/KEVALA/OUT/02/2025,2025-02-17,four season resort maldives,Four Season Maldives,1214475.0,Hotel,Export,1.0,Maldives,74.91996754162076
INV-00028/KEVALA/OUT/03/2025,2025-03-14,amanda arumdhani,Four Season Sayan,9501600.0,Hotel,Local,59.0,Indonesia,586.1459178603626
INV-00028/KEVALA/OUT/05/2025,2025-05-16,bali general supply,BGS,3912750.0,Restaurant,Local,30.0,Indonesia,241.37434117497406
INV-00029/KEVALA/OUT/04/2025,2025-04-18,japa putra wijaka,Japa Ubud,117851475.0,Hotel,Local,615.0,Indonesia,7270.160918695017
INV-00029/KEVALA/OUT/06/2025,2025-06-10,ali bey malidives pvt. ltd. (joali muravandhoo),Joali Muravandhoo,2680.0,Hotel,Export,370.0,Maldives,2680.0
INV-00030/KEVALA/OUT/02/2025,2025-02-17,boa development,Nihi Rote,40537200.0,Hotel,Local,165.0,Indonesia,2500.7066495631357
INV-00030/KEVALA/OUT/03/2025,2025-03-17,nusadua graha international,The Westin Resort Nusa Dua,12565200.0,Hotel,Local,38.0,Indonesia,775.136891376087
INV-00030/KEVALA/OUT/04/2025,2025-04-18,byus management group,Miss Fish Canggu,2997000.0,Restaurant,Local,30.0,Indonesia,184.8824740914695
INV-00031/KEVALA/OUT/02/2025,2025-02-17,boa development,Nihi Rote,10656000.0,Hotel,Local,70.0,Indonesia,657.3599078807805
INV-00031/KEVALA/OUT/03/2025,2025-03-17,bali radiance,Bali Radiance,51948000.0,Hotel,Local,477.0,Indonesia,3204.629550918805
INV-00031/KEVALA/OUT/04/2025,2025-04-18,pt autogrill services indonesia,Wolf Gang Puck,155011500.0,Restaurant,Local,830.0,Indonesia,9562.532409953228
INV-00031/KEVALA/OUT/05/2025,2025-05-16,handara golf & resort bali,Sarana Buana Handara,6926400.0,Hotel,Local,24.0,Indonesia,427.2839401225073
INV-00031/KEVALA/OUT/06/2025,2025-06-16,bambootel resort,Bambootel,205290060.0,Hotel,Local,1213.0,Indonesia,12664.175575304043
INV-00032/KEVALA/OUT/02/2025,2025-02-21,boa development,Nihi Rote,35898100.0,Hotel,Local,163.0,Indonesia,2214.52437209976
INV-00032/KEVALA/OUT/03/2025,2025-03-18,hotel pandan arum,Maya Ubud,10489500.0,Hotel,Local,30.0,Indonesia,647.0886593201433
INV-00032/KEVALA/OUT/04/2025,2025-04-21,heritage resorts and spas,Buahan a Banyan Tree Escape,13852800.0,Hotel,Local,120.0,Indonesia,854.5678802450146
