invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type
INV-1965/KEVALA/OUT/VIII/2024,22 Aug 2024,Karya Agung Kisma Lestari,Laguna Hotel Bali,"6,660,000.",Hotel,Local
INV-1966/KEVALA/OUT/VIII/2024,22 Aug 2024,Pablo Long Time Asian Restaurant,Pablo Long Time,"10,822,500.",Restaurant,Local
INV-1967/KEVALA/OUT/VIII/2024,28 Aug 2024,Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,"128,944,260.",Restaurant,Local
INV-1968/KEVALA/OUT/VIII/2024,21 Aug 2024,Anaamaya Resort Seminyak,Alila Seminyak,"1,298,700.",Hotel,Local
INV-1969/KEVALA/OUT/VIII/2024,21 Aug 2024,Anaamaya Resort Seminyak,Alila Seminyak,"5,161,500.",Hotel,Local
INV-1970/KEVALA/OUT/VIII/2024,22 Aug 2024,Anaamaya Resort Seminyak,Alila Seminyak,"7,192,800.",Hotel,Local
INV-1971/KEVALA/OUT/VIII/2024,23 Aug 2024,Karang Mas Sejahtera,Ayana Hospitality,"62,742,750.",Hotel,Local
INV-1972/KEVALA/OUT/VIII/2024,23 Aug 2024,Mozaic Ubud,Mozaic Ubud,"55,466,700.",Restaurant,Local
INV-1973/KEVALA/OUT/VIII/2024,31 Jul 2024,The Lemon Tree Curacao,The Lemon Tree Curacao,"691,362,500.",Hotel,Local
INV-1975/KEVALA/OUT/VIII/2024,23 Aug 2024,Jimbaran Villas,Bvlgari,"2,985,900.",Hotel,Local
INV-1976/KEVALA/OUT/VIII/2024,27 Aug 2024,Nusantara Island Resort,Amankila Hotel,"316,350.",Hotel,Local
INV-1977/KEVALA/OUT/VIII/2024,28 Aug 2024,Maya Resort,Maya Sanur,"5,994,000.",Hotel,Local
INV-1978/KEVALA/OUT/VIII/2024,28 Aug 2024,Nusadua Graha International,The Westin Resort Nusa Dua,"33,786,180.",Hotel,Local
INV-1979/KEVALA/OUT/VIII/2024,28 Aug 2024,Nativa Graha Saji,Billy Ho,"3,663,000.",Restaurant,Local
INV-1980/KEVALA/OUT/VIII/2024,29 Aug 2024,Optimist Pererenan,Optimist Pererenan,"42,918,150.",Restaurant,Local
INV-1981/KEVALA/OUT/VIII/2024,29 Aug 2024,Riviera Bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,"1,332,000.",Restaurant,Local
INV-1982/KEVALA/OUT/VIII/2024,29 Aug 2024,Bali Radiance,Bali Radiance,"5,994,000.",Hotel,Local
INV-1983/KEVALA/OUT/VIII/2024,29 Aug 2024,Fairmont Jakarta - PT Senayan Trikarya Sempana,Fairmont Jakarta,"311,604,750.",Hotel,Local
INV-1984/KEVALA/OUT/VIII/2024,29 Aug 2024,Samanvaya,Zen Happy,"3,579,750.",Hotel,Local
INV-1985/KEVALA/OUT/VIII/2024,30 Aug 2024,Griya Pancaloka,Sofitel Bali Nusa Dua Beach Resort,"4,745,250.",Hotel,Local
INV-1986/KEVALA/OUT/VIII/2024,30 Aug 2024,Bali Bounty,Kudeta,"26,806,500.",Restaurant,Local
INV-1987/KEVALA/OUT/VIII/2024,30 Aug 2024,Griya Pancaloka,Sofitel Bali Nusa Dua Beach Resort,"11,072,250.",Hotel,Local
INV-1988/KEVALA/OUT/VIII/2024,30 Aug 2024,Nusadua Graha International,The Westin Resort Nusa Dua,"13,255,065.",Hotel,Local
INV-1989/KEVALA/OUT/VIII/2024,30 Aug 2024,Graha Alam Lestari,The Apurva Kempinski Bali,"50,277,505.",Hotel,Local
INV-1990/KEVALA/OUT/VIII/2024,30 Aug 2024,Loloan Bali,Mexicola Seminyak,"10,267,500.",Restaurant,Local
INV-1991/KEVALA/OUT/VIII/2024,30 Aug 2024,PT Autogrill Services Indonesia,Wolf Gang Puck,"122,590,897.",Restaurant,Local
INV-1992/KEVALA/OUT/VIII/2024,31 Aug 2024,Wana Kamala Gemilang,Omma Bali,"27,417,000.",Restaurant,Local
INV-1993/KEVALA/OUT/VIII/2024,31 Aug 2024,Nusantara Ubud,CIPATI YUDHA PERSADA/JVJ Gastro Warung,"26,420,220.",Restaurant,Local
INV-1994/KEVALA/OUT/IX/2024,03 Sep 2024,Anaamaya Resort Seminyak,Alila Seminyak,"67,521,300.",Hotel,Local
