invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type
INV-00061/KEVALA/OUT/01/2025,15/Jan/25,Bali Perkasa Sukses,Indigo Bali,"2,575,200.00",Hotel,Local
INV-00062/KEVALA/OUT/03/2025,27/Mar/25,Ungasan Semesta Resort,QQ Siti Agung Makmur (LXR),"2,769,450.00",Hotel,Local
INV-00062/KEVALA/OUT/11/2024,30/Nov/24,PT Caterison Sukses,Hilton Bali,"555,000,000.00",Hotel,Local
INV-00064/KEVALA/OUT/02/2025,17/Feb/25,AL GHALIA W.L.L,Jihad,"4,536.90",Agent,Export
INV-00072/KEVALA/OUT/02/2025,27/Feb/25,Boa Development,Nihi Rote,"43,345,500.00",Hotel,Local
INV-00073/KEVALA/OUT/02/2025,27/Feb/25,Karang Mas Sejahtera,Ayana Hospitality,"5,594,400.00",Hotel,Local
INV-00074/KEVALA/OUT/02/2025,27/Feb/25,Belmond Jimbaran Puri Bali,Bali Resort & Leisure,"53,124,600.00",Hotel,Local
INV-00076/KEVALA/OUT/02/2025,27/Feb/25,Tanjung Benoa Indonesia,Holiday in Benoa,"46,553,400.00",Hotel,Local
INV-00077/KEVALA/OUT/02/2025,27/Feb/25,Tanjung Benoa Indonesia,Holiday in Benoa,"29,992,200.00",Hotel,Local
INV-00078/KEVALA/OUT/02/2025,27/Feb/25,Bali Radiance,Bali Radiance,"43,956,000.00",Hotel,Local
INV-00080/KEVALA/OUT/02/2025,28/Feb/25,"Balikpapan Boga Utama, CV",Balikpapan Boga Utama,"11,177,700.00",Umum,Umum
INV-00082/KEVALA/OUT/02/2025,28/Feb/25,Bali Radiance,Bali Radiance,"3,108,000.00",Hotel,Local
INV-00088/KEVALA/OUT/03/2025,31/Mar/25,Karang Mas Sejahtera,Ayana Hospitality,"210,978,144.00",Hotel,Local
INV-00089/KEVALA/OUT/03/2025,31/Mar/25,Karang Mas Sejahtera,Ayana Hospitality,"358,206,402.00",Hotel,Local
INV-00091/KEVALA/OUT/02/2025,28/Feb/25,Samabe Luxury Resort,Samabe Luxury Resort,"17,582,400.00",Hotel,Local
INV-00092/KEVALA/OUT/02/2025,28/Feb/25,Nusadua Graha International,The Westin Resort Nusa Dua,"5,150,400.00",Hotel,Local
INV-00092/KEVALA/OUT/03/2025,31/Mar/25,Fairmont Jakarta - PT Senayan Trikarya Sempana,Fairmont Jakarta,"185,703,000.00",Hotel,Local
INV-00093/KEVALA/OUT/02/2025,28/Feb/25,The Oberoi Beach Resort Bali,Oberoi Beach,"128,010,750.00",Hotel,Local
INV-00093/KEVALA/OUT/03/2025,31/Mar/25,Karang Mas Sejahtera,Ayana Hospitality,"130,796,306.00",Hotel,Local
INV-00094/KEVALA/OUT/02/2025,28/Feb/25,Pahdi Alam Sejahtera,Pahdi,"255,854,723.00",Restaurant,Local
INV-00095/KEVALA/OUT/02/2025,28/Feb/25,"Prima Adhitama International Development, PT",Ayana Midplaza Jakarta,"8,678,911.00",Hotel,Local
INV-00100/KEVALA/OUT/02/2025,28/Feb/25,Boa Development,Nihi Rote,"9,906,750.00",Hotel,Local
INV-00101/KEVALA/OUT/02/2025,28/Feb/25,Boa Development,Nihi Rote,"6,132,750.00",Hotel,Local
INV-00102/KEVALA/OUT/02/2025,28/Feb/25,Handara Golf & Resort Bali,Sarana Buana Handara,"248,684,400.00",Hotel,Local
INV-00104/KEVALA/OUT/02/2025,18/Feb/25,AL GHALIA W.L.L,Jihad,705.13,Agent,Export
INV-00169/KEVALA/OUT/06/2024,04/Jun/24,Kevala Keramik Bali,KKB,"4,789,704.00",Umum,Local
INV-012/KEVALA/OUT/II/2024,13/Feb/24,Mandarin Oriental Muscat,Mandarin Oriental,283,Hotel,Export
INV-01878/KEVALA/OUT/V/2024,17/Jun/24,Success Venture Hotel Investment,Pan Pacific Hotel,"913,336,277.00",Hotel,Local
INV-029/KEVALA/OUT/V/2024,30/May/24,Keith & Kym Concepts,Keith & Kym Concepts,106.15,Umum,Export
INV-1130(2)/KEVALA/OUT/III/2024,22/Mar/24,Guum Pte. Ltd.,Guum,"6,224.00",Restaurant,Export
INV-1130(3)/KEVALA/III/2024,25/Mar/24,Guum Pte. Ltd.,Guum,125,Restaurant,Export
INV-1130/KEVALA/OUT/III/2024,08/Mar/24,Guum Pte. Ltd.,Guum,261,Restaurant,Export
INV-1350(2)/KEVALA/OUT/II/2024,06/Feb/24,Four Season Resort Maldives,Four Season Maldives,480,Hotel,Export
INV-1355/KEVALA/OUT/II/2024,09/Feb/24,Ali Bey Malidives Pvt. Ltd. (Joali Muravandhoo),Joali Muravandhoo,"5,460.00",Hotel,Export
INV-1357/KEVALA/OUT/I/2024,24/Jan/24,Mactan Seascapes Service INC (Crimson),Crimson / Boracay,"2,373.55",Hotel,Export
INV-1358/KEVALA/OUT/II/2024,08/Mar/24,Mactan Seascapes Service INC (Crimson),Crimson / Boracay,"3,079.20",Hotel,Export
INV-1359/KEVALA/OUT/X/2023,04/Jan/24,"JTB Trading, Inc. ( Six Sense Kyoto)",Six Sense Kyoto,"14,502.50",Hotel,Export
INV-1361/KEVALA/OUT/X/2023,04/Jan/24,"JTB Trading, Inc. ( Six Sense Kyoto)",Six Sense Kyoto,"1,785.00",Hotel,Export
INV-1431/KEVALA/OUT/I/2024,05/Jan/24,Leisure Oceans Private Limited (Six Sense Kanuhura),Six Sense Kanuhura,"8,819.50",Hotel,Export
INV-1464/KEVALA/OUT/XI/2023,01/Jan/24,Kusuma Inti Abadi,Oakwood Jakarta,"9,747,354.00",Hotel,Local
INV-1494/KEVALA/OUT/XII/2023,02/Jan/24,Waldorf Astoria Maldives Ithaa Fushi,Waldorf Astoria,"2,907.00",Hotel,Export
INV-1498/KEVALA/OUT/XII/2023,01/Jan/24,Sutera Bali,Mamasan Fine Dining,"3,885,000.00",Restaurant,Local
INV-1521/KEVALA/OUT/XII/2023,01/Jan/24,Bumi Canggu Nusantara,Motel Mexicola Canggu,"49,783,500.00",Restaurant,Local
INV-1522/KEVALA/OUT/XII/2023,01/Jan/24,Nusadua Graha International,The Westin Resort Nusa Dua,"7,548,000.00",Hotel,Local
INV-1523/KEVALA/OUT/XII/2023,01/Jan/24,Bali Giri Kencana,Four Season Resort Jimbaran Bay,"2,708,400.00",Hotel,Local
INV-1524/KEVALA/OUT/XII/2023,01/Jan/24,Bali Giri Kencana,Four Season Resort Jimbaran Bay,"13,564,200.00",Hotel,Local
INV-1525/KEVALA/OUT/XII/2023,01/Jan/24,Bali Nusaintan,The Ritz Carlton Bali,"18,231,750.00",Hotel,Local
INV-1526/KEVALA/OUT/XII/2023,22/Jan/24,Garden Barn Inc,Garden Barn 1,"1,740.00",Agent,Export
INV-1529/KEVALA/OUT/XII/2023,23/Mar/24,Bali Perkasa Sukses,Indigo Bali,"12,043,500.00",Hotel,Local
INV-1530/KEVALA/OUT/XII/2023,01/Jan/24,Bali Perkasa Sukses,Indigo Bali,"13,170,150.00",Hotel,Local
INV-1531/KEVALA/OUT/XII/2023,01/Jan/24,Bali Perkasa Sukses,Indigo Bali,"1,554,000.00",Hotel,Local
INV-1532/KEVALA/OUT/XII/2023,01/Jan/24,Bali Perkasa Sukses,Indigo Bali,"49,317,300.00",Hotel,Local
INV-1533/KEVALA/OUT/XII/2023,23/Mar/24,Bali Perkasa Sukses,Indigo Bali,"2,752,800.00",Hotel,Local
INV-1534/KEVALA/OUT/XII/2023,01/Jan/24,Anaamaya Resort Seminyak,Alila Seminyak,"2,089,020.00",Hotel,Local
INV-1535/KEVALA/OUT/XII/2023,01/Jan/24,Anaamaya Resort Seminyak,Alila Seminyak,"327,450.00",Hotel,Local
INV-1536/KEVALA/OUT/XII/2023,01/Jan/24,Karma Bali Indonesia,Karma Kandara,"87,967,500.00",Hotel,Local
INV-1537/KEVALA/OUT/XII/2023,01/Jan/24,Bali Radiance,Bali Radiance,"422,776,800.00",Hotel,Local
INV-1540/KEVALA/OUT/XII/2023,13/Jan/24,Renarte General Trading LLC,Renarte,"1,659.00",Agent,Export
INV-1541/KEVALA/OUT/XII/2023,05/Feb/24,Renarte General Trading LLC,Renarte,"1,872.00",Agent,Export
INV-1566/KEVALA/OUT/I/2024,02/Jan/24,Hotel Pandan Arum,Maya Ubud,"27,743,895.00",Hotel,Local
INV-1567/KEVALA/OUT/I/2024,02/Jan/24,Hotel Pandan Arum,Maya Ubud,"10,856,077.00",Hotel,Local
INV-1568/KEVALA/OUT/I/2024,02/Jan/24,Hotel Pandan Arum,Maya Ubud,"14,515,192.00",Hotel,Local
INV-1569/KEVALA/OUT/I/2024,02/Jan/24,Amanda Arumdhani,Four Season Sayan,"1,714,950.00",Hotel,Local
INV-1570/KEVALA/OUT/I/2024,02/Jan/24,Amanda Arumdhani,Four Season Sayan,"8,472,907.00",Hotel,Local
INV-1571/KEVALA/OUT/I/2024,02/Jan/24,Amanda Arumdhani,Four Season Sayan,"5,261,400.00",Hotel,Local
INV-1572/KEVALA/OUT/I/2024,02/Jan/24,Bali Perkasa Sukses,Indigo Bali,"16,450,200.00",Hotel,Local
INV-1573/KEVALA/OUT/I/2024,02/Jan/24,Bali Perkasa Sukses,Indigo Bali,"22,089,000.00",Hotel,Local
INV-1574/KEVALA/OUT/I/2024,02/Jan/24,Bali Perkasa Sukses,Indigo Bali,"12,654,000.00",Hotel,Local
INV-1575/KEVALA/OUT/I/2024,02/Jan/24,Bali Perkasa Sukses,Indigo Bali,"12,536,340.00",Hotel,Local
INV-1578/KEVALA/OUT/I/2024,02/Jan/24,Jimbaran Villas,Bvlgari,"21,756,000.00",Hotel,Local
