Company_Name,PO Number,Date,Trade_Type,Total,Total_Quantity,Location,Customer_Category,Country
kevala keramik bali,,05/11/2024,Local,31035600.0,0,,Umum,Indonesia
kevala keramik bali,,09/10/2024,Local,276168000.0,0,,Umum,Indonesia
kevala keramik bali,,05/11/2024,Local,851414400.0,0,,Umum,Indonesia
kevala keramik bali,,09/10/2024,Local,122801520.0,0,,Umum,Indonesia
kevala keramik bali,,09/10/2024,Local,55300200.0,0,,Umum,Indonesia
kevala keramik bali,,09/10/2024,Local,301999920.0,0,,Umum,Indonesia
kevala keramik bali,,09/10/2024,Local,252835800.0,0,,Umum,Indonesia
kevala keramik bali,,09/10/2024,Local,213528480.0,0,,Umum,Indonesia
kevala keramik bali,,09/10/2024,Local,108891000.0,0,,Umum,Indonesia
kevala keramik bali,-,26/03/2025,Local,128794632.0,802,,Umum,Indonesia
kevala keramik bali,-,26/03/2025,Local,83969280.0,456,,Umum,Indonesia
kevala keramik bali,-,26/03/2025,Local,22777200.0,54,,Umum,Indonesia
kevala keramik bali,,21/11/2024,Local,75124800.0,0,,Umum,Indonesia
kevala keramik bali,,20/11/2024,Local,34450000.0,0,,Umum,Indonesia
kevala keramik bali,,21/11/2024,Local,133026840.0,0,,Umum,Indonesia
kevala keramik bali,,08/11/2024,Local,159413760.0,0,,Umum,Indonesia
kevala keramik bali,,08/11/2024,Local,218221560.0,0,,Umum,Indonesia
kevala keramik bali,,07/11/2024,Local,207112680.0,0,,Umum,Indonesia
kevala keramik bali,,06/11/2024,Local,99340560.0,0,,Umum,Indonesia
kevala keramik bali,,07/11/2024,Local,142197660.0,0,,Umum,Indonesia
kevala keramik bali,,12/11/2024,Local,43583040.0,0,,Umum,Indonesia
kevala keramik bali,,12/11/2024,Local,73846080.0,0,,Umum,Indonesia
kevala keramik bali,,12/11/2024,Local,124595280.0,0,,Umum,Indonesia
kevala keramik bali,,06/11/2024,Local,176143680.0,0,,Umum,Indonesia
kevala keramik bali,-,26/03/2025,Local,21978000.0,120,,Umum,Indonesia
kevala keramik bali,,17/01/2025,Local,28238400.0,0,,Umum,Indonesia
kevala keramik bali,,17/01/2025,Local,127112760.0,0,,Umum,Indonesia
kevala keramik bali,,17/01/2025,Local,124675200.0,0,,Umum,Indonesia
