      ,Client Name,PIC,Quotation Out,Qty (Pcs), Amount (IDR) , Amount (USD) , Amount (AUD) , Amount ( EUR ) , Amount (SGD) , Remark ,Contact Person,Send By,Inquiry,Remark
,,,Purchase Order Received,,,,,,,,,,,
,,,Canceled Purchase Order,,,,,,,,,,,
,,,Order is on hold,,,,,,,,,,,
,2024,,,,,,,,,,,,,
33,La Favella,,25/Mar/24,," IDR  68,225,000 ",,,,,,,,,
34,Raffles Hotel Singapore (Courtyard),,25/Mar/24,,," USD  20,213.00 ",,,,,,,,
35,Rosewood Doha - Grab & Go,,25/Mar/24,,," USD  27,720.00 ",,,,,,,,
36,Capella Sydney Brasserie,,26/Mar/24,,," USD  10,125.00 ",,,,,,,,
37,Simon & Sons,,27/Mar/24,," IDR  101,620,000 ",,,,,,,,,
38,Bokashi Pererenan (Coupe Bowl),,27/Mar/24,," IDR  8,400,000 ",,,,,,,,,
39,Revolver Umalas,,27/Mar/24,," IDR  65,950,000 ",,,,,,,,,
40,Ayana Rimba (Dava),,28/Mar/24,," IDR  127,775,000 ",,,,,,,,,
41,The Lemon Tree Curcao - Momo Restaurant,,28/Mar/24,," IDR 368,600,000 ",,,,,,,,,
42,The Lemon Tree Curcao - Chef's Table,,28/Mar/24,," IDR 436,850,000 ",,,,,,,,,
43,Pablo Long Time Restaurant (Oval Plate),,29/Mar/24,," IDR 5,600,000 ",,,,,,,,,
44,Mandara Spa ,,29/Mar/24,," IDR 19,500,000 ",,,,,,,,,
45,BGS,,29/Mar/24,," IDR 5,520,000 ",,,,,,,,,
46,Waldorf Astoria Maldives - The Ledge & Destination,,29/Mar/24,,," USD  16,010.00 ",,,,,,,,
,,,,,,,,,,,,,,
,,,TOTAL,," IDR 3,793,154,250 "," USD  172,111.40 ", AUD  -   ,,,,,,,
,,,,,,,,,,,,,,
,Total PO Received,,,," IDR  2,026,597,250 ",,,,,,,,,
,Total PO Not Received,,,," IDR  1,766,557,000 "," USD  172,111.40 ",,,,,,,,
,,,,,,,,,,,,,,
,APRIL,,,,,,,,,,,,,
1,Bibich Restaurant ,,01/Apr/24,,," USD  10,890.00 ",,,,,,,,
2,Yawara,,01/Apr/24,," IDR 267,990,000 ",,,,,,,,,
3,Alila Villas Uluwatu,,02/Apr/24,," IDR  17,400,000 ",,,,,,,,,
4,The Apurva Kempinski Bali - Selasar,,04/Apr/24,," IDR  43,560,000 ",,,,,,,,,
5,The Apurva Kempinski Bali - Reef ,,04/Apr/24,," IDR  53,283,000 ",,,,,,,,,
6,The Apurva Kempinski Bali - Koral,,04/Apr/24,," IDR  49,491,000 ",,,,,,,,,
7,The Apurva Kempinski Bali - Oku,,04/Apr/24,," IDR  45,960,000 ",,,,,,,,,
8,The Damai Hotel,,04/Apr/24,," IDR  27,990,000 ",,,,,,,,,
9,The Westin Nusa Dua (Cup and Saucer),,04/Apr/24,," IDR  33,000,000 ",,,,,,,,,
10,Capella Sydney Braserrie,,05/Apr/24,,," USD  10,065.00 ",,,,,,,,
11,Sonia,,05/Apr/24,,," USD  1,308.34 ",,,,,,,,
12,Patina Maldives - HK (Teapot),,09/Apr/24,,, USD  900.00 ,,,,,,,,
13,Waldorf Astoria Maldives Ithaafushi - In Villa Dining,,12/Apr/24,,," USD  2,166.00 ",,,,,,,,
14,Mamasan,,12/Apr/24,," IDR  22,800,000 ",,,,,,,,,
15,Billy Ho,,16/Apr/24,," IDR  5,880,000 ",,,,,,,,,
16,Seniman Coffee,,19/Apr/24,," IDR  3,840,000 ",,,,,,,,,
17,Mason Uluwatu,,19/Apr/24,," IDR  20,400,000 ",,,,,,,,,
18,Ayana Bento Box Sample,,19/Apr/24,," IDR  1,265,000 ",,,,,,,,,
19,The Apurva Kempinski Bali - Selasar Additional,,22/Apr/24,," IDR  1,638,750 ",,,,,,,,,
20,The Apurva Kempinski Bali - Reef Additional,,22/Apr/24,," IDR  5,000,800 ",,,,,,,,,
